,Unnamed: 0,Unnamed: 0.1,make_model,short_description,price,km,hp,Type,First Registration,Body Color,Body,Gearing Type,Displacement,Fuel,CO2 Emission,Emission Class,consumption_comb,consumption_city,consumption_country,door_number,First_Registration
0,0,0,Audi A1,Sportback 1.4 TDI S-tronic Xenon Navi Klima,15770,56013,66.0,Used,2016.0,Black,Sedans,Automatic,1.422,DIESEL,99,Euro 6,3.8,4.3,3.5,5,2016
1,1,1,Audi A1,1.8 TFSI sport,14500,80000,141.0,Used,2017.0,Red,Sedans,Automatic,1.798,BENZINE,129,Euro 6,5.6,7.1,4.7,3,2017
2,2,2,Audi A1,Sportback 1.6 TDI S tronic Einparkhilfe plus+music,14640,83450,85.0,Used,2016.0,Black,Sedans,Automatic,1.598,DIESEL,99,Euro 6,3.8,4.4,3.4,4,2016
3,3,3,Audi A1,1.4 TDi Design S tronic,14500,73000,66.0,Used,2016.0,Brown,Sedans,Automatic,1.422,DIESEL,99,Euro 6,3.8,4.3,3.5,3,2016
4,4,4,Audi A1,1.6 TDI Sport DSG *SHZ*Xenon*Navi*Bose*PDC*,15090,63668,85.0,Used,2016.0,White,Sedans,Automatic,1.598,DIESEL,92,Euro 6,3.5,4.3,3.1,4,2016
5,5,5,Audi A1,Sportback 1.6 TDI S-TRONIC S-LINE*NAVI|XENON*,16422,62111,85.0,Used,2016.0,White,Station wagon,Automatic,1.598,DIESEL,98,Euro 6,3.7,4.3,3.4,4,2016
6,6,6,Audi A1,Sportback 1.4 TDI admired S tronic,14480,14986,66.0,Used,2016.0,Red,Compact,Automatic,1.422,DIESEL,97,Euro 6,3.7,4.2,3.4,5,2016
7,7,7,Audi A1,SPB 1.6 TDI S-tronic Metal plus + Xeno,16700,57000,85.0,Used,2016.0,Grey,Sedans,Automatic,1.598,DIESEL,97,Euro 6,3.7,4.3,3.4,5,2016
8,8,8,Audi A1,SPORTBACK TFSI ULTRA 95 S-TRONIC AMB.,17990,16103,70.0,Used,2017.0,White,Sedans,Automatic,0.999,BENZINE,,,,,,5,2017
9,9,9,Audi A1,SPORTBACK1.6 TDI 116 CV S tronic Metal plus,18500,11300,85.0,Used,2018.0,Black,Sedans,Automatic,1.598,DIESEL,105,Euro 6,4.0,4.6,3.6,3,2018
10,10,10,Audi A1,Sportback Sport »1.4 TFSI|Xenon|Navi|EPH+|SHZ|S tr,17990,26415,92.0,Used,2016.0,Silver,Sedans,Automatic,1.395,BENZINE,112,Euro 6,4.9,6.2,4.2,4,2016
11,11,11,Audi A1,Sportback 1.4 TFSI S-tronic *S line*NAV*XEN*,18380,31600,92.0,Used,2016.0,White,Sedans,Automatic,1.395,BENZINE,112,Euro 6,4.9,6.2,4.2,5,2016
12,12,12,Audi A1,1.4 TFSI 150ch COD Ambition Luxe S tronic 7,18399,45764,112.0,Used,2016.0,Grey,Sedans,Automatic,1.395,BENZINE,,,,,,3,2016
13,13,13,Audi A1,Sportback 1.0 TFSI S-TRonic*Navi*Xenon*APS* Sport,17990,34914,70.0,Used,2016.0,Black,Sedans,Automatic,0.999,BENZINE,99,Euro 6,4.2,5.0,3.7,5,2016
14,14,14,Audi A1,SPB 1.6 TDI 116 CV S tronic Sport,18700,27000,85.0,Employee's car,2016.0,Grey,Sedans,Automatic,1.598,DIESEL,97,Euro 6,3.7,4.3,3.4,5,2016
15,15,15,Audi A1,SPB 1.6 TDI 116 CV Design S-Line SPB 1.6 TDI 116 C,18900,9752,85.0,Used,2018.0,Blue,Sedans,Automatic,1.598,DIESEL,92,Euro 6,3.5,4.3,3.1,5,2018
16,16,16,Audi A1,1.4 TDi S tronic*S-Line*Navigatie*Euro 6b*,18500,28408,66.0,Used,2017.0,White,Sedans,Automatic,1.422,DIESEL,99,Euro 6,3.8,4.3,3.5,5,2017
17,17,17,Audi A1,1.0 TFSI 95pk Automaat Adrenalin,18400,50280,70.0,Used,2016.0,Black,Compact,Automatic,0.999,BENZINE,103,Euro 6,4.5,5.5,3.9,5,2016
18,18,18,Audi A1,Sportback 1.6 TDI 116 CV S tronic Metal plus,18500,13406,85.0,Used,2018.0,Black,Sedans,Automatic,1.598,DIESEL,99,Euro 6,3.8,4.6,3.3,5,2018
19,19,19,Audi A1,SPB 1.6 TDI 116 CV S tronic Admired S-Line,18500,51160,85.0,Used,2017.0,White,Sedans,Automatic,1.598,DIESEL,105,Euro 6,4.0,4.6,3.6,5,2017
20,20,20,Audi A1,Sportback Sport 1.4 TFSI S tronic XENON NAVI,18500,15850,92.0,Used,2016.0,Black,Sedans,Automatic,1.395,BENZINE,112,,4.9,6.2,4.2,5,2016
21,21,21,Audi A1,1.4 TFSI S tronic,18900,17000,92.0,Used,2016.0,Grey,Sedans,Automatic,1.395,BENZINE,112,Euro 6,4.9,6.2,4.2,3,2016
22,22,22,Audi A1,SPB 1.6 TDI 116 CV S tronic Metal plus,18850,9077,85.0,Used,2018.0,Black,Sedans,Automatic,1.598,DIESEL,97,Euro 6,3.7,4.3,3.4,5,2018
23,23,23,Audi A1,SPB 1.0 TFSI ultra S tronic!! 3.000KM! COME NUOVA!,18500,3000,70.0,Used,2018.0,White,Sedans,Automatic,0.999,BENZINE,102,Euro 6,4.4,5.4,3.8,5,2018
24,24,24,Audi A1,1.0 TFSI ultra Sportback TÜV NEU,8999,115000,70.0,Used,2016.0,White,Sedans,Manual,0.999,BENZINE,97,Euro 6,4.2,5.0,3.7,5,2016
25,25,25,Audi A1,1.0 TFSI *PDC*SHZ*Klimaautomatik*,11444,84029,70.0,Used,2016.0,Blue,Compact,Manual,0.999,BENZINE,97,Euro 6,4.2,5.0,3.7,2,2016
26,26,26,Audi A1,Sportback 1.0 TFSI Attraction,11300,67800,70.0,Used,2016.0,Black,Sedans,Manual,0.999,BENZINE,97,Euro 6,4.2,5.0,3.7,5,2016
27,27,27,Audi A1,/S1 SPB 1.4 TDI S tronic Admired,18900,14556,66.0,Used,2018.0,White,Sedans,Automatic,1.422,DIESEL,99,Euro 6,4.3,3.8,3.5,5,2018
28,28,28,Audi A1,Sportback basis,11290,22000,70.0,Used,2016.0,Black,Compact,Manual,0.999,BENZINE,102,Euro 6,4.4,5.2,3.9,4,2016
29,29,29,Audi A1,Sportback 1.4TDI Attraction,11290,38400,66.0,Used,2016.0,Black,Compact,Manual,1.422,DIESEL,,,3.0,3.0,3.0,5,2016
30,30,30,Audi A1,1.4 TDI ultra Klimaautomatik Xenon,11440,83307,66.0,Used,2016.0,Black,Sedans,Manual,1.422,DIESEL,95,Euro 6,3.6,4.0,3.3,3,2016
31,31,31,Audi A1,1.0 TFSI ultra KLIMA LM ZV,11445,39668,70.0,Used,2016.0,Brown,Compact,Manual,0.999,BENZINE,104,Euro 6,4.4,5.2,3.9,3,2016
32,32,32,Audi A1,Sportback 1.4TDI Attraction,11700,30353,66.0,Used,2016.0,Black,Sedans,Manual,1.422,DIESEL,97,Euro 6,3.7,3.9,3.1,5,2016
33,33,33,Audi A1,SPB 1.4 TDI 90cv EURO6 NEOPATENTATI,11900,126000,66.0,Used,2016.0,White,Sedans,Manual,1.422,DIESEL,97,Euro 6,3.7,4.2,3.4,5,2016
34,34,34,Audi A1,1.0 TFSI ultra KLIMA FSE SHZ EU6,11949,57500,70.0,Used,2016.0,White,Compact,Manual,0.999,BENZINE,104,Euro 6,4.4,5.2,3.9,3,2016
35,35,35,Audi A1,1.0 TFSI ultra *GRA*Klima*,11890,73945,70.0,Used,2016.0,White,Sedans,Manual,0.999,BENZINE,104,Euro 6,4.4,5.2,3.9,3,2016
36,36,36,Audi A1,Sportback 1.4TDI Attraction,11600,96000,66.0,Used,2017.0,Red,Sedans,Manual,1.422,DIESEL,97,Euro 6,3.7,3.9,3.1,5,2017
37,37,37,Audi A1,1.0 TFSI ultra sport,11900,43120,60.0,Used,2016.0,Red,Sedans,Manual,0.999,BENZINE,97,Euro 6,4.2,5.0,3.7,3,2016
38,38,38,Audi A1,"(€8950,-excl.VAT/Guarantee) SB 1.4 TDi Ultra Eur6",11630,110715,66.0,Used,2016.0,Silver,Compact,Manual,1.422,DIESEL,,Euro 6,,,,5,2016
